TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-19 05:30:00,31181,12.83,2.540598,1.777643,0.2857251,9.110395,0.1722229,0.3223571,2.564362,1.777285,0.3227154,0.2868172,0.1718664,8.968781
2011-08-19 06:00:00,31182,12.81,2.092002,1.777199,0.2866658,8.864423,0.1710272,0.3228012,2.059479,1.779672,0.3203284,0.2870149,0.1704799,8.759033
2011-08-19 06:30:00,31183,12.79,2.282475,1.777798,0.2874293,8.629041,0.1697915,0.3222021,1.787598,1.781802,0.318198,0.2874534,0.169092,8.529663
2011-08-19 07:00:00,31184,12.8,1.624295,1.777344,0.288308,8.395367,0.1686262,0.3226558,1.942963,1.778291,0.3217088,0.2889394,0.1681682,8.280762
2011-08-19 07:30:00,31185,12.87,1.904112,1.777496,0.2893208,8.184484,0.1676934,0.3225039,1.515717,1.77691,0.3230903,0.2897042,0.1672457,8.091919
2011-08-19 08:00:00,31186,13.13,2.080525,1.777913,0.2894512,8.02242,0.1665967,0.322087,3.176331,1.77825,0.3217499,0.2892011,0.166094,7.972809
2011-08-19 08:30:00,31187,13.66,3.999155,1.778392,0.2885476,7.951473,0.1655648,0.3216081,4.97757,1.777982,0.3220181,0.2878479,0.1651739,7.952942
2011-08-19 09:00:00,31188,14.07,5.944085,1.778419,0.2872997,7.982308,0.1650695,0.3215805,7.226074,1.778062,0.3219376,0.2860081,0.164684,8.032074
2011-08-19 09:30:00,31189,14.58,9.916975,1.781878,0.2853509,8.185891,0.1654021,0.3181221,12.50681,1.788593,0.311407,0.2841847,0.165684,8.320618
2011-08-19 10:00:00,31190,14.33,13.83431,1.786606,0.2828676,8.558964,0.1665987,0.3133936,15.14264,1.785525,0.3144748,0.2806967,0.1671205,8.815094
2011-08-19 10:30:00,31191,14.06,16.36903,1.787651,0.2802326,9.03898,0.1684099,0.3123488,17.59109,1.785869,0.3141305,0.2789867,0.16942,9.290771
2011-08-19 11:00:00,31192,13.91,18.55856,1.788628,0.2774643,9.592421,0.1705841,0.3113718,20.09921,1.790447,0.3095524,0.2759812,0.171618,9.873871
2011-08-19 11:30:00,31193,13.83,20.27938,1.789027,0.2741973,10.2279,0.1729317,0.3109724,20.19461,1.784521,0.315479,0.2736157,0.1747333,10.54434
2011-08-19 12:00:00,31194,13.77,20.61095,1.786114,0.2719606,10.90338,0.1761151,0.3138863,21.70187,1.783905,0.3160951,0.2714574,0.1775264,11.159
2011-08-19 12:30:00,31195,13.72,23.10854,1.790045,0.2697733,11.54771,0.1790414,0.3099551,23.10086,1.789173,0.3108268,0.2679732,0.1805591,11.95181
2011-08-19 13:00:00,31196,13.7,23.13688,1.786695,0.2670568,12.28586,0.1821679,0.3133051,24.07788,1.788992,0.3110083,0.265787,0.1836415,12.63739
2011-08-19 13:30:00,31197,13.69,24.36953,1.786268,0.2645121,13.03645,0.185396,0.3137319,24.92535,1.788406,0.3115937,0.2638629,0.1869517,13.34073
2011-08-19 14:00:00,31198,13.71,24.71194,1.787731,0.2626119,13.74341,0.1887055,0.312269,24.06555,1.792084,0.3079159,0.2618706,0.1902716,14.06345
2011-08-19 14:30:00,31199,13.74,25.28951,1.787582,0.2606863,14.43565,0.1918338,0.3124183,25.72253,1.792888,0.3071117,0.2595468,0.193128,14.76389
2011-08-19 15:00:00,31200,13.77,25.24736,1.787142,0.2595524,14.98258,0.1945509,0.3128576,25.30167,1.785354,0.3146462,0.2586803,0.1956364,15.25146
2011-08-19 15:30:00,31201,13.78,25.42339,1.788,0.259088,15.45488,0.1972616,0.3119997,26.14813,1.789977,0.3100226,0.2587457,0.1981531,15.63287
2011-08-19 16:00:00,31202,13.78,26.05402,1.792539,0.2588297,15.81637,0.1994049,0.3074606,25.62711,1.789464,0.3105354,0.2589743,0.200317,15.94006
2011-08-19 16:30:00,31203,13.74,25.74387,1.790581,0.2592131,16.07977,0.2014072,0.3094186,25.36923,1.794965,0.3050354,0.259606,0.2022495,16.16254
2011-08-19 17:00:00,31204,13.74,25.63397,1.789833,0.2597398,16.2383,0.2028458,0.3101667,25.77719,1.785729,0.3142705,0.2603544,0.2033473,16.24161
2011-08-19 17:30:00,31205,13.73,25.94923,1.792365,0.2608645,16.29519,0.204095,0.307635,25.85931,1.791206,0.308794,0.2610148,0.2043095,16.31003
2011-08-19 18:00:00,31206,13.73,25.74003,1.791912,0.26186,16.24759,0.2045617,0.3080876,25.69525,1.79176,0.3082395,0.2625656,0.2047947,16.19901
